epoch,batch,loss_total,loss_rot,loss_scale,mAP15,mAP30
1,302,0.743074357509613,0.7360357046127319,0.007038632407784462,0.5,0.5
1,303,0.5717145800590515,0.5607262849807739,0.010988309979438782,0.625,0.625
1,304,0.6046566367149353,0.5859562754631042,0.018700387328863144,0.5,0.5
1,305,0.9173617959022522,0.9030718207359314,0.014289993792772293,0.375,0.375
1,306,0.9144579172134399,0.9012840986251831,0.013173796236515045,0.375,0.375
1,307,0.8497489094734192,0.8352450728416443,0.014503812417387962,0.25,0.375
1,308,0.5875159502029419,0.5784364938735962,0.009079435840249062,0.5,0.625
1,309,0.7663537263870239,0.7580054998397827,0.008348198607563972,0.375,0.5
1,310,0.6160265803337097,0.6059973239898682,0.010029276832938194,0.5,0.5
1,311,0.598465621471405,0.583945631980896,0.014520013704895973,0.375,0.625
1,312,0.19551672041416168,0.18476852774620056,0.010748186148703098,0.875,0.875
1,313,0.41637101769447327,0.3996645510196686,0.01670645922422409,0.5,0.75
1,314,0.5250852704048157,0.5200093984603882,0.005075884982943535,0.375,0.625
1,315,0.9707778692245483,0.9642456769943237,0.006532204337418079,0.25,0.25
1,316,0.6181804537773132,0.5966293215751648,0.02155112475156784,0.375,0.625
1,317,0.38492918014526367,0.37198418378829956,0.012945001013576984,0.75,0.75
1,318,0.3859972357749939,0.3805919289588928,0.005405306816101074,0.75,0.75
1,319,0.6722763180732727,0.6577203869819641,0.014555903151631355,0.25,0.5
1,320,0.3975125551223755,0.37740111351013184,0.020111428573727608,0.75,0.75
1,321,0.4200025498867035,0.40477967262268066,0.015222882851958275,0.375,0.75
1,322,0.5838258266448975,0.5640453696250916,0.019780442118644714,0.5,0.625
1,323,1.2878267765045166,1.2715404033660889,0.01628643274307251,0.125,0.125
1,324,0.5935655236244202,0.5912465453147888,0.0023189496714621782,0.5,0.5
1,325,0.8636266589164734,0.8562809228897095,0.007345735095441341,0.375,0.375
1,326,0.6040154099464417,0.5993301868438721,0.004685212392359972,0.5,0.5
1,327,0.9408741593360901,0.9281352758407593,0.012738877907395363,0.25,0.375
1,328,0.795804500579834,0.791966438293457,0.00383808184415102,0.375,0.375
1,329,0.7804041504859924,0.7648470401763916,0.015557102859020233,0.25,0.5
1,330,0.3599623739719391,0.345816433429718,0.014145949855446815,0.75,0.75
1,331,0.39526939392089844,0.37478235363960266,0.02048703283071518,0.75,0.75
1,332,0.5611127614974976,0.5580787658691406,0.0030340123921632767,0.625,0.625
1,333,1.0669902563095093,1.0545086860656738,0.012481547892093658,0.25,0.25
1,334,0.603632390499115,0.5939988493919373,0.009633542038500309,0.5,0.5
1,335,0.9197011590003967,0.9137816429138184,0.0059195272624492645,0.375,0.375
1,336,0.9283133149147034,0.9077372550964355,0.020576070994138718,0.375,0.375
1,337,0.4053209125995636,0.3923180103302002,0.01300291158258915,0.625,0.75
1,338,0.40291628241539,0.4002629518508911,0.0026533319614827633,0.5,0.75
1,339,0.7419411540031433,0.7376181483268738,0.004322988912463188,0.5,0.5
1,340,0.7683327198028564,0.7519037127494812,0.01642901822924614,0.5,0.5
1,341,0.9031016826629639,0.8868285417556763,0.016273144632577896,0.375,0.375
1,342,0.7385520339012146,0.7350776195526123,0.0034743957221508026,0.5,0.5
1,343,0.6544144749641418,0.6465953588485718,0.007819144055247307,0.5,0.5
1,344,0.3902750015258789,0.37511059641838074,0.015164406970143318,0.75,0.75
1,345,0.8013172745704651,0.7861056923866272,0.015211579389870167,0.375,0.375
1,346,0.574015200138092,0.5661824941635132,0.007832707837224007,0.5,0.625
1,347,0.39319440722465515,0.3866114020347595,0.006582994479686022,0.625,0.75
1,348,0.3083604574203491,0.2931665778160095,0.01519387774169445,0.75,0.75
1,349,0.8217600584030151,0.8161208629608154,0.005639185197651386,0.375,0.375
1,350,0.6789212822914124,0.6689903736114502,0.009930934756994247,0.5,0.5
1,351,0.9167240262031555,0.9067542552947998,0.009969783946871758,0.375,0.375
1,352,0.09980911761522293,0.0845622792840004,0.015246840193867683,0.75,0.875
1,353,0.5844070911407471,0.5695821642875671,0.014824913814663887,0.5,0.625
1,354,0.7491679191589355,0.7401953339576721,0.008972560986876488,0.375,0.5
1,355,1.1569578647613525,1.1340631246566772,0.022894790396094322,0.125,0.125
1,356,0.6193539500236511,0.6065502166748047,0.012803759425878525,0.5,0.5
1,357,0.5636274814605713,0.5499789118766785,0.013648579828441143,0.625,0.625
1,358,0.7493627071380615,0.7442280054092407,0.005134725943207741,0.375,0.5
1,359,1.0410022735595703,1.0326975584030151,0.00830469187349081,0.25,0.25
1,360,0.7408767342567444,0.7261139750480652,0.014762765727937222,0.5,0.5
1,361,0.3846758306026459,0.37715595960617065,0.007519877515733242,0.75,0.75
1,362,0.05007397383451462,0.03888135030865669,0.011192623525857925,0.75,1.0
1,363,0.46828898787498474,0.466238409280777,0.0020505832508206367,0.375,0.625
1,364,0.7555122375488281,0.7341138124465942,0.021398423239588737,0.5,0.5
1,365,0.5722019672393799,0.5642059445381165,0.007996007800102234,0.5,0.625
1,366,0.7141462564468384,0.7054511904716492,0.008695084601640701,0.5,0.5
1,367,1.0958904027938843,1.0896544456481934,0.0062360079027712345,0.25,0.25
1,368,0.7446010112762451,0.7327419519424438,0.011859034188091755,0.5,0.5
1,369,0.5604415535926819,0.5502128601074219,0.010228713974356651,0.625,0.625
1,370,0.5780469179153442,0.5673593282699585,0.01068761758506298,0.5,0.625
1,371,0.21595335006713867,0.2074265331029892,0.008526811376214027,0.75,0.875
1,372,0.09727777540683746,0.07888324558734894,0.018394533544778824,0.75,0.875
1,373,0.9189502000808716,0.9129858613014221,0.005964349955320358,0.375,0.375
1,374,0.42998170852661133,0.40089303255081177,0.029088683426380157,0.625,0.75
1,375,0.9271588325500488,0.9098721742630005,0.017286688089370728,0.375,0.375
1,376,0.9308029413223267,0.9197577834129333,0.011045181192457676,0.375,0.375
1,377,0.9185551404953003,0.9088895916938782,0.00966556929051876,0.375,0.375
1,378,0.3836915194988251,0.3766033947467804,0.007088111247867346,0.75,0.75
1,379,0.9326444268226624,0.9155896902084351,0.017054758965969086,0.375,0.375
1,380,0.7609322667121887,0.7351995706558228,0.025732681155204773,0.5,0.5
1,381,0.9239993691444397,0.9143915176391602,0.009607866406440735,0.375,0.375
1,382,1.2767773866653442,1.2667146921157837,0.010062693618237972,0.125,0.125
1,383,0.860522449016571,0.8308204412460327,0.029702018946409225,0.375,0.375
1,384,0.7309296727180481,0.7122868299484253,0.018642842769622803,0.375,0.5
1,385,0.6099430918693542,0.5872173309326172,0.02272576093673706,0.5,0.625
1,386,0.6864244937896729,0.6617132425308228,0.02471126988530159,0.5,0.5
1,387,0.7441264390945435,0.7312517166137695,0.01287471316754818,0.5,0.5
1,388,0.7521277070045471,0.7403789758682251,0.01174875907599926,0.5,0.5
1,389,0.4075545072555542,0.3947662115097046,0.01278828363865614,0.625,0.75
1,390,0.7113896608352661,0.696580171585083,0.01480947993695736,0.375,0.5
1,391,0.5710915327072144,0.5542175769805908,0.016873976215720177,0.625,0.625
1,392,0.38891342282295227,0.3716190457344055,0.01729438081383705,0.75,0.75
1,393,0.922188937664032,0.9193444848060608,0.0028444372583180666,0.25,0.375
1,394,0.7509356737136841,0.7378748059272766,0.013060864061117172,0.5,0.5
1,395,0.9265483021736145,0.9218246936798096,0.0047236280515789986,0.375,0.375
1,396,1.0018914937973022,0.997016191482544,0.0048753502778708935,0.125,0.25
1,397,0.6133370995521545,0.5966167449951172,0.016720354557037354,0.125,0.625
1,398,0.5001993775367737,0.49284034967422485,0.007359023671597242,0.625,0.625
1,399,0.7485505938529968,0.741870641708374,0.006679939106106758,0.375,0.5
